Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker
2021-02-08 00:00:00-05:00,149.55776185872185,151.36759894257574,148.96759041418184,150.79710388183594,8583400,0,0,0,ARKK
2021-02-09 00:00:00-05:00,151.38727824316322,154.08235753707007,150.32497862773377,152.3905487060547,8122900,0,0,0,ARKK
2021-02-10 00:00:00-05:00,154.6233335959743,155.32170259791397,147.99381846445362,150.59054565429688,14325800,0,0,0,ARKK
2021-02-11 00:00:00-05:00,152.45939792100611,153.8167831697909,149.8823470944101,152.0364532470703,8839300,0,0,0,ARKK
2021-02-12 00:00:00-05:00,151.35776264371344,154.03318041139107,149.51840354800837,154.0135040283203,6685600,0,0,0,ARKK
2021-02-16 00:00:00-05:00,156.44301426561907,157.08235411138557,152.19381618650678,152.57742309570312,11148800,0,0,0,ARKK
2021-02-17 00:00:00-05:00,150.97415234736184,150.99381372131043,145.04299121778251,149.6757813,13602000,0,0,0,ARKK
2021-02-18 00:00:00-05:00,146.60593367376262,147.75774497413914,143.69543500703966,146.7446289,10989900,0,0,0,ARKK
2021-02-19 00:00:00-05:00,149.01675972151634,151.47578215916513,148.5249552339866,150.1085662841797,7901900,0,0,0,ARKK
2021-02-22 00:00:00-05:00,147.26594953900636,148.45610809573446,140.90199772550864,141.42330932617188,16368700,0,0,0,ARKK
2021-02-23 00:00:00-05:00,133.94787898264337,137.69544223152784,124.73638943899039,136.76100158691406,37539000,0,0,0,ARKK
2021-02-24 00:00:00-05:00,136.1708389518794,137.92166185592237,132.2954169029249,136.0528106689453,15840200,0,0,0,ARKK
2021-02-25 00:00:00-05:00,133.9478778,136.41674622444253,126.3062216087822,127.387207,16444800,0,0,0,ARKK
